Type,Address,Country,Region,City,Postcode,Road,Road Number,Latitude,Longitude
Real Location,"303 Melrose Avenue, Syracuse, NY 13219-1152",United States,New York,City of Syracuse,13206,Melrose Avenue,303,43.0646936,-76.1184418
Real Location,6776 or E,United States,Oregon,Portland,97229,Northwest Dandelion Terrace,6776,45.5687037,-122.82980048159541
Real Location,"2225 North Bolton Avenue, Alexandria, LA 71303-4408",United States,Louisiana,Alexandria,71303,North Bolton Avenue,2225,31.322400721869982,-92.4760744026854
Real Location,"Dedicated June 12, 1981 at St",België / Belgique / Belgien,Hainaut,Ath,,,,50.6311349,3.7769485
Real Location,"432 Gifford Street, Syracuse, NY",United States,New York,City of Syracuse,13204,Gifford Street,432,43.04358155,-76.16220549089388
Real Location,2006 it happened,Italia,Veneto,Affi,37010,Via Sottomoscal,,45.5571173,10.7698686
Real Location,3908 or Fax,United States,Oregon,,,Fax Road,,45.502258,-121.0287484
Real Location,"432 Gifford Street, Syracuse, New York 13204",United States,New York,City of Syracuse,13204,Gifford Street,432,43.04358155,-76.16220549089388
Real Location,2006 in Fonda,Deutschland,Hessen,Frankfurt am Main,60316,Martin-Luther-Straße,17,50.1253428,8.6973806
URL,https://katerisyracuse.com
